#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
type;url;string;string;string
lang;;seda;seda-02;en
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel
;;yob;yo;Yoba
;;quy;qu;Ayacucho Quechua
;;biz;bi;Baloi
;;vec;ve;Venetian
;;ita;it;Italian
;;sod;so;Songoora
;;twt;tw;Turiwára
;;tou;to;Tho
;;ndt;nd;Ndunga
;;jad;ja;Jahanka
;;sua;su;Sulka
;;kkm;kk;Kiong
;;krk;kr;Kerek
;;igb;ig;Ebira
;;bhy;bh;Bhele
;;arn;ar;Mapudungun
;;amn;am;Amanab
;;msg;ms;Moraid
;;bay;ba;Batuley
;;vel;ve;Veluws
;;can;ca;Chambri
;;pab;pa;Parecís
;;chx;ch;Chantyal
;;bea;be;Beaver
;;mrf;mr;Elseng
;;ltn;lt;Latundê
;;faa;fa;Fasu
;;nru;nr;Narua
;;ttq;tt;Tawallammat Tamajaq
;;isl;is;Icelandic
;;arc;ar;Official Aramaic (700-300 BCE)
;;myc;my;Mayeka
;;msk;ms;Mansaka
;;hio;hi;Tsoa
;;kac;ka;Kachin
;;sax;sa;Sa
;;klw;kl;Lindu
;;ngc;ng;Ngombe (Democratic Republic of Congo)
;;kla;kl;Klamath-Modoc
;;miq;mi;Mískito
;;swm;sw;Samosa
;;ron;ro;Romanian
;;tnc;tn;Tanimuca-Retuarã
;;kmw;km;Komo (Democratic Republic of Congo)
;;tsd;ts;Tsakonian
;;osu;os;Southern One
;;nrz;nr;Lala
;;ssn;ss;Waata
;;frq;fr;Forak
;;bif;bi;Biafada
;;ngy;ng;Tibea
;;kgb;kg;Kawe
;;liy;li;Banda-Bambari
;;avb;av;Avau
;;mkq;mk;Bay Miwok
;;lut;lu;Lushootseed
;;tiu;ti;Adasen
;;koo;ko;Konzo
;;mgs;mg;Manda (Tanzania)
;;kul;ku;Kulere
;;bha;bh;Bharia
;;siu;si;Sinagen
;;twy;tw;Tawoyan
;;msu;ms;Musom
;;rwa;rw;Rawo
;;bmi;bm;Bagirmi
;;bsf;bs;Bauchi
;;plk;pl;Kohistani Shina
;;kvh;kv;Komodo
;;bhg;bh;Binandere
;;nar;na;Iguta
;;tlt;tl;Teluti
;;nli;nl;Grangali
;;waz;wa;Wampur
;;mgl;mg;Maleu-Kilenge
;;tna;tn;Tacana
;;omn;om;Minoan
;;slh;sl;Southern Puget Sound Salish
;;gup;gu;Gunwinggu
;;sdj;sd;Suundi
;;azg;az;San Pedro Amuzgos Amuzgo
;;ayk;ay;Akuku
;;sng;sn;Sanga (Democratic Republic of Congo)
;;asj;as;Nsari
;;snn;sn;Siona
;;afr;af;Afrikaans
;;ide;id;Idere
;;snv;sn;Sa'ban
;;kyj;ky;Karao
;;sac;sa;Meskwaki
;;lgq;lg;Logba
;;qug;qu;Chimborazo Highland Quichua
;;scu;sc;Shumcho
;;lol;lo;Mongo
;;hed;he;Herdé
;;ayt;ay;Magbukun Ayta
;;msy;ms;Aruamu
;;los;lo;Loniu
;;tyv;ty;Tuvinian
;;etz;et;Semimi
;;csa;cs;Chiltepec Chinantec
;;urg;ur;Urigina
;;bnz;bn;Beezen
;;bns;bn;Bundeli
;;faj;fa;Faita
;;akf;ak;Akpa
;;twc;tw;Teshenawa
;;srg;sr;Sulod
;;mrk;mr;Hmwaveke
;;saq;sa;Samburu
;;pil;pi;Yom
;;urn;ur;Uruangnirin
;;zun;zu;Zuni
;;esm;es;Esuma
;;and;an;Ansus
;;kjs;kj;East Kewa
;;cua;cu;Cua
;;hov;ho;Hovongan
;;osi;os;Osing
;;biq;bi;Bipi
;;ngr;ng;Nanggu
;;knp;kn;Kwanja
;;sci;sc;Sri Lankan Creole Malay
;;eee;ee;E
;;slw;sl;Sialum
;;kgp;kg;Kaingang
;;omg;om;Omagua
;;kip;ki;Sheshi Kham
;;nbl;nb;South Ndebele
;;har;ha;Harari
;;boi;bo;Barbareño
;;hro;hr;Haroi
;;nbb;nb;Ndoe
;;qun;qu;Quinault
;;lum;lu;Luimbi
;;hob;ho;Mari (Madang Province)
;;krt;kr;Tumari Kanuri
;;wad;wa;Wandamen
;;rnn;rn;Roon
;;etc;et;Etchemin
;;tap;ta;Taabwa
;;seb;se;Shempire Senoufo
;;mym;my;Me'en
;;gvr;gv;Western Gurung
;;kib;ki;Koalib
;;ces;ce;Czech
;;zhi;zh;Zhire
;;ney;ne;Neyo
;;saj;sa;Sahu
;;plb;pl;Polonombauk
;;dao;da;Daai Chin
;;urw;ur;Sop
;;gaj;ga;Gadsup
;;rug;ru;Roviana
;;cad;ca;Caddo
;;kaj;ka;Jju
;;knf;kn;Mankanya
;;sth;st;Shelta
;;aaw;aa;Solong
;;tof;to;Gizrra
;;sgd;sg;Surigaonon
;;tno;tn;Toromono
;;twl;tw;Tawara
;;vis;vi;Vishavan
;;sqt;sq;Soqotri
;;omk;om;Omok
;;ptu;pt;Bambam
;;tnx;tn;Tanema
;;bel;be;Belarusian
;;bal;ba;Baluchi
;;lav;la;Latvian
;;thk;th;Tharaka
;;hra;hr;Hrangkhol
;;laz;la;Aribwatsa
;;kke;kk;Kakabe
;;mrr;mr;Maria (India)
;;abu;ab;Abure
;;set;se;Sentani
;;kya;ky;Kwaya
;;kje;kj;Kisar
;;trn;tr;Trinitario
;;pis;pi;Pijin
;;psi;ps;Southeast Pashayi
;;vie;vi;Vietnamese
;;ike;ik;Eastern Canadian Inuktitut
;;tru;tr;Turoyo
;;ora;or;Oroha
;;hik;hi;Seit-Kaitetu
;;ors;or;Orang Seletar
;;cak;ca;Kaqchikel
;;taj;ta;Eastern Tamang
;;nno;nn;Norwegian Nynorsk
;;amh;am;Amharic
;;mlr;ml;Vame
;;hun;hu;Hungarian
;;aye;ay;Ayere
;;thv;th;Tahaggart Tamahaq
;;sko;sk;Seko Tengah
;;rob;ro;Tae'
;;mln;ml;Malango
;;elh;el;El Hugeirat
;;chn;ch;Chinook jargon
;;zac;za;Ocotlán Zapotec
;;trj;tr;Toram
;;lid;li;Nyindrou
;;aer;ae;Eastern Arrernte
;;lik;li;Lika
;;rmd;rm;Traveller Danish
;;nyh;ny;Nyigina
;;nyv;ny;Nyulnyul
;;ndj;nd;Ndamba
;;bgm;bg;Baga Mboteni
;;ava;av;Avaric
;;wob;wo;Wè Northern
;;tlq;tl;Tai Loi
;;srl;sr;Isirawa
;;srz;sr;Shahmirzadi
;;lnu;ln;Longuda
;;brq;br;Breri
;;ttd;tt;Tauade
;;brw;br;Bellari
;;ays;ay;Sorsogon Ayta
;;bsy;bs;Sabah Bisaya
;;msd;ms;Yucatec Maya Sign Language
;;siv;si;Sumariup
;;hae;ha;Eastern Oromo
;;sih;si;Zire
;;sow;so;Sowanda
;;tkz;tk;Takua
;;nnw;nn;Southern Nuni
;;bsc;bs;Bassari
;;hts;ht;Hadza
;;nnx;nn;Ngong
;;ssw;ss;Swati
;;asu;as;Tocantins Asurini
;;mre;mr;Martha's Vineyard Sign Language
;;aks;ak;Akaselem
;;tke;tk;Takwane
;;piv;pi;Pileni
;;cor;co;Cornish
;;yol;yo;Yola
;;seh;se;Sena
;;vem;ve;Vemgo-Mabas
;;gvy;gv;Guyani
;;jay;ja;Yan-nhangu
;;woe;wo;Woleaian
;;nex;ne;Neme
;;ben;be;Bengali
;;zax;za;Xadani Zapotec
;;brj;br;Bieria
;;orh;or;Oroqen
;;nat;na;Hungworo
;;srt;sr;Sauri
;;skk;sk;Sok
;;psw;ps;Port Sandwich
;;boy;bo;Bodo (Central African Republic)
;;kof;ko;Kubi
;;hub;hu;Huambisa
;;fod;fo;Foodo
;;esl;es;Egypt Sign Language
;;kml;km;Lower Tanudan Kalinga
;;mka;mk;Mbre
;;stb;st;Northern Subanen
;;bav;ba;Vengo
;;crb;cr;Island Carib
;;mio;mi;Pinotepa Nacional Mixtec
;;kwf;kw;Kwara'ae
;;gug;gu;Paraguayan Guaraní
;;bon;bo;Bine
;;abn;ab;Abua
;;avn;av;Avatime
;;gar;ga;Galeya
;;bgd;bg;Rathwi Bareli
;;slv;sl;Slovenian
;;hot;ho;Hote
;;anr;an;Andh
;;kkl;kk;Kosarek Yale
;;smu;sm;Somray
;;kjl;kj;Western Parbate Kham
;;omc;om;Mochica
;;kay;ka;Kamayurá
;;sug;su;Suganga
;;dad;da;Marik
;;anz;an;Anem
;;nyk;ny;Nyaneka
;;mga;mg;Middle Irish (900-1200)
;;daa;da;Dangaléat
;;bms;bm;Bilma Kanuri
;;kwk;kw;Kwakiutl
;;isc;is;Isconahua
;;smg;sm;Simbali
;;arq;ar;Algerian Arabic
;;aaa;aa;Ghotuo
;;myl;my;Moma
;;quq;qu;Quinqui
;;rol;ro;Romblomanon
;;tlf;tl;Telefol
;;ksl;ks;Kumalu
;;hug;hu;Huachipaeri
;;mkj;mk;Mokilese
;;asg;as;Cishingini
;;kne;kn;Kankanaey
;;som;so;Somali
;;cok;co;Santa Teresa Cora
;;rus;ru;Russian
;;cax;ca;Chiquitano
;;avu;av;Avokaya
;;tex;te;Tennet
;;mnw;mn;Mon
;;zam;za;Miahuatlán Zapotec
;;bna;bn;Bonerate
;;tak;ta;Tala
;;lbo;lb;Laven
;;dev;de;Domung
;;tad;ta;Tause
;;deq;de;Dendi (Central African Republic)
;;wol;wo;Wolof
;;gvj;gv;Guajá
;;swp;sw;Suau
;;bss;bs;Akoose
;;brc;br;Berbice Creole Dutch
;;orr;or;Oruma
;;skd;sk;Southern Sierra Miwok
;;css;cs;Southern Ohlone
;;pat;pa;Papitalai
;;gas;ga;Adiwasi Garasia
;;glk;gl;Gilaki
;;knl;kn;Keninjal
;;ndf;nd;Nadruvian
;;kgh;kg;Upper Tanudan Kalinga
;;mnh;mn;Mono (Democratic Republic of Congo)
;;mtt;mt;Mota
;;tkq;tk;Tee
;;ank;an;Goemai
;;ndy;nd;Lutos
;;ded;de;Dedua
;;mhk;mh;Mungaka
;;jau;ja;Yaur
;;tiv;ti;Tiv
;;cam;ca;Cemuhî
;;lby;lb;Lamu-Lamu
;;rmm;rm;Roma
;;mto;mt;Totontepec Mixe
;;kyr;ky;Kuruáya
;;azj;az;North Azerbaijani
;;swb;sw;Maore Comorian
;;gno;gn;Northern Gondi
;;crm;cr;Moose Cree
;;mnq;mn;Minriq
;;smn;sm;Inari Sami
;;huv;hu;San Mateo Del Mar Huave
;;iko;ik;Olulumo-Ikom
;;rms;rm;Romanian Sign Language
;;tef;te;Teressa
;;dva;dv;Duau
;;ojg;oj;Eastern Ojibwa
;;snw;sn;Selee
;;mhr;mh;Eastern Mari
;;knw;kn;Kung-Ekoka
;;kma;km;Konni
;;tem;te;Timne
;;tkl;tk;Tokelau
;;bmv;bm;Bum
;;kvu;kv;Yinbaw Karen
;;igo;ig;Isebe
;;ksr;ks;Borong
;;bsl;bs;Basa-Gumna
;;nbr;nb;Numana-Nunku-Gbantu-Numbu
;;tye;ty;Kyenga
;;kyy;ky;Kambaira
;;kur;ku;Kurdish
;;afi;af;Akrukay
;;kln;kl;Kalenjin
;;plt;pl;Plateau Malagasy
;;lir;li;Liberian English
;;csl;cs;Chinese Sign Language
;;kwp;kw;Kodia
;;ptw;pt;Pentlatch
;;kvp;kv;Kompane
;;rog;ro;Northern Roglai
;;fie;fi;Fyer
;;tsq;ts;Thai Sign Language
;;aey;ae;Amele
;;mta;mt;Cotabato Manobo
;;mtd;mt;Mualang
;;kms;km;Kamasau
;;frt;fr;Fortsenal
;;vol;vo;Volapük
;;sea;se;Semai
;;nrm;nr;Narom
;;akj;ak;Aka-Jeru
;;tay;ta;Atayal
;;noj;no;Nonuya
;;bnu;bn;Bentong
;;tgo;tg;Sudest
;;xhd;xh;Hadrami
;;fom;fo;Foma
;;bgz;bg;Banggai
;;ssh;ss;Shihhi Arabic
;;nej;ne;Neko
;;myb;my;Mbay
;;brp;br;Barapasi
;;cuh;cu;Chuka
;;crx;cr;Carrier
;;zaf;za;Ayoquesco Zapotec
;;bij;bi;Vaghat-Ya-Bijim-Legeri
;;ngd;ng;Ngando (Central African Republic)
;;noc;no;Nuk
;;ane;an;Xârâcùù
;;gub;gu;Guajajára
;;tog;to;Tonga (Nyasa)
;;bgq;bg;Bagri
;;ssq;ss;So'a
;;ttr;tt;Tera
;;lbk;lb;Central Bontok
;;nek;ne;Neku
;;gux;gu;Gourmanchéma
;;kvw;kv;Wersing
;;noa;no;Woun Meu
;;crt;cr;Iyojwa'ja Chorote
;;mnb;mn;Muna
;;ruu;ru;Lanas Lobu
;;bmj;bm;Bote-Majhi
;;lgi;lg;Lengilu
;;hiw;hi;Hiw
;;elu;el;Elu
;;fat;fa;Fanti
;;sgw;sg;Sebat Bet Gurage
;;tao;ta;Yami
;;kgj;kg;Gamale Kham
;;bse;bs;Wushi
;;nnc;nn;Nancere
;;kiv;ki;Kimbu
;;tov;to;Upper Taromi
;;snh;sn;Shinabo
;;ayg;ay;Ginyanga
;;mgt;mg;Mongol
;;bok;bo;Bonjo
;;brk;br;Birked
;;pau;pa;Palauan
;;bhh;bh;Bukharic
;;bhs;bh;Buwal
;;biy;bi;Birhor
;;amx;am;Anmatyerre
;;luu;lu;Lumba-Yakkha
;;roo;ro;Rotokas
;;pla;pl;Miani
;;way;wa;Wayana
;;mrg;mr;Mising
;;lnd;ln;Lundayeh
;;quf;qu;Lambayeque Quechua
;;yif;yi;Ache
;;sno;sn;Snohomish
;;sdk;sd;Sos Kundi
;;msx;ms;Moresada
;;smh;sm;Samei
;;slg;sl;Selungai Murut
;;sln;sl;Salinan
;;mnk;mn;Mandinka
;;tnb;tn;Western Tunebo
;;mle;ml;Manambu
;;hoj;ho;Hadothi
;;bes;be;Besme
;;san;sa;Sanskrit
;;caf;ca;Southern Carrier
;;lgr;lg;Lengo
;;mlf;ml;Mal
;;uro;ur;Ura (Papua New Guinea)
;;smo;sm;Samoan
;;sig;si;Paasaal
;;bhb;bh;Bhili
;;ukl;uk;Ukrainian Sign Language
;;tlc;tl;Yecuatla Totonac
;;kyi;ky;Kiput
;;jav;ja;Javanese
;;tst;ts;Tondi Songway Kiini
;;ttb;tt;Gaa
;;trp;tr;Kok Borok
;;anc;an;Ngas
;;nnv;nn;Nugunu (Australia)
;;kku;kk;Tumi
;;msf;ms;Mekwei
;;wow;wo;Wawonii
;;itb;it;Binongan Itneg
;;abx;ab;Inabaknon
;;enm;en;Middle English (1100-1500)
;;boh;bo;Boma
;;pti;pt;Pintiini
;;jae;ja;Yabem
;;bhz;bh;Bada (Indonesia)
;;sdb;sd;Shabak
;;kaz;ka;Kazakh
;;mkp;mk;Moikodi
;;bhq;bh;Tukang Besi South
;;nds;nd;Low German
;;bie;bi;Bepour
;;nrt;nr;Northern Kalapuya
;;lnl;ln;South Central Banda
;;krl;kr;Karelian
;;aai;aa;Arifama-Miniafia
;;lto;lt;Tsotso
;;lob;lo;Lobi
;;hil;hi;Hiligaynon
;;myd;my;Maramba
;;hac;ha;Gurani
;;abz;ab;Abui
;;liz;li;Libinza
;;tnd;tn;Angosturas Tunebo
;;bhp;bh;Bima
;;psa;ps;Asue Awyu
;;kow;ko;Kugama
;;enq;en;Enga
;;tab;ta;Tabassaran
;;say;sa;Saya
;;kjm;kj;Kháng
;;abe;ab;Western Abnaki
;;crc;cr;Lonwolwol
;;mip;mi;Apasco-Apoala Mixtec
;;sec;se;Sechelt
;;soc;so;So (Democratic Republic of Congo)
;;iar;ia;Purari
;;bob;bo;Aweer
;;sak;sa;Sake
;;pit;pi;Pitta Pitta
;;kjf;kj;Khalaj
;;kih;ki;Kilmeri
;;sge;sg;Segai
;;klb;kl;Kiliwa
;;rod;ro;Rogo
;;thl;th;Dangaura Tharu
;;trm;tr;Tregami
;;twf;tw;Northern Tiwa
;;ths;th;Thakali
;;wan;wa;Wan
;;haz;ha;Hazaragi
;;mhi;mh;Ma'di
;;csm;cs;Central Sierra Miwok
;;kkf;kk;Kalaktang Monpa
;;kmn;km;Awtuw
;;squ;sq;Squamish
;;mls;ml;Masalit
;;abm;ab;Abanyom
;;ort;or;Adivasi Oriya
;;psl;ps;Puerto Rican Sign Language
;;lnz;ln;Lonzo
;;tih;ti;Timugon Murut
;;law;la;Lauje
;;mlo;ml;Mlomp
;;mif;mi;Mofu-Gudur
;;csb;cs;Kashubian
;;plj;pl;Polci
;;kok;ko;Konkani (macrolanguage)
;;mki;mk;Dhatki
;;skn;sk;Kolibugan Subanon
;;hoa;ho;Hoava
;;aes;ae;Alsea
;;chd;ch;Highland Oaxaca Chontal
;;ori;or;Oriya
;;pam;pa;Pampanga
;;aar;aa;Afar
;;gnt;gn;Guntai
;;kod;ko;Kodi
;;bak;ba;Bashkir
;;bek;be;Bebeli
;;ayu;ay;Ayu
;;hij;hi;Hijuk
;;itv;it;Itawit
;;mhl;mh;Mauwake
;;lic;li;Hlai
;;uga;ug;Ugaritic
;;tax;ta;Tamki
;;yit;yi;Eastern Lalu
;;sgg;sg;Swiss-German Sign Language
;;pib;pi;Yine
;;eli;el;Nding
;;bma;bm;Lame
;;glv;gl;Manx
;;tsc;ts;Tswa
;;sej;se;Sene
;;smv;sm;Samvedi
;;ake;ak;Akawaio
;;ved;ve;Veddah
;;its;it;Isekiri
;;ida;id;Idakho-Isukha-Tiriki
;;sui;su;Suki
;;nbk;nb;Nake
;;fai;fa;Faiwol
;;urf;ur;Uradhi
;;kak;ka;Kayapa Kallahan
;;huw;hu;Hukumina
;;aeq;ae;Aer
;;mrj;mr;Western Mari
;;bip;bi;Bila
;;ngz;ng;Ngungwel
;;guo;gu;Guayabero
;;lvk;lv;Lavukaleve
;;sch;sc;Sakachep
;;crl;cr;Northern East Cree
;;rmf;rm;Kalo Finnish Romani
;;swx;sw;Suruahá
;;hya;hy;Hya
;;esi;es;North Alaskan Inupiatun
;;tlr;tl;Talise
;;bed;be;Bedoanas
;;dan;da;Danish
;;klx;kl;Koluwawa
;;ast;as;Asturian
;;daz;da;Dao
;;end;en;Ende
;;urx;ur;Urimo
;;sti;st;Bulo Stieng
;;kio;ki;Kiowa
;;gai;ga;Borei
;;nau;na;Nauru
;;kkn;kk;Kon Keu
;;ngo;ng;Ngoni
;;naa;na;Namla
;;bhi;bh;Bhilali
;;wae;wa;Walser
;;tsf;ts;Southwestern Tamang
;;fam;fa;Fam
;;tgy;tg;Togoyo
;;nba;nb;Nyemba
;;bmt;bm;Biao Mon
;;nvh;nv;Nasarian
;;bov;bo;Tuwuli
;;waa;wa;Walla Walla
;;huf;hu;Humene
;;baa;ba;Babatana
;;lam;la;Lamba
;;qui;qu;Quileute
;;loc;lo;Inonhan
;;aad;aa;Amal
;;mte;mt;Mono (Solomon Islands)
;;chw;ch;Chuwabu
;;kut;ku;Kutenai
;;tgg;tg;Tangga
;;nga;ng;Ngbaka
;;kia;ki;Kim
;;nbj;nb;Ngarinman
;;gdu;gd;Gudu
;;huc;hu;=/Hua
;;dee;de;Dewoin
;;bsk;bs;Burushaski
;;asm;as;Assamese
;;seu;se;Serui-Laut
;;glu;gl;Gula (Chad)
;;csw;cs;Swampy Cree
;;mkg;mk;Mak (China)
;;tgr;tg;Tareng
;;urp;ur;Uru-Pa-In
;;rom;ro;Romany
;;bio;bi;Nai
;;nnp;nn;Wancho Naga
;;gne;gn;Ganang
;;ssc;ss;Suba-Simbiti
;;ury;ur;Orya
;;anq;an;Jarawa (India)
;;fan;fa;Fang (Equatorial Guinea)
;;sku;sk;Sakao
;;kol;ko;Kol (Papua New Guinea)
;;kmm;km;Kom (India)
;;ksk;ks;Kansa
;;hum;hu;Hungana
;;qup;qu;Southern Pastaza Quechua
;;tis;ti;Masadiit Itneg
;;kvx;kv;Parkari Koli
;;kno;kn;Kono (Sierra Leone)
;;krr;kr;Kru'ng 2
;;mts;mt;Yora
;;bnm;bn;Batanga
;;knd;kn;Konda
;;ikz;ik;Ikizu
;;tyn;ty;Kombai
;;dag;da;Dagbani
;;amy;am;Ami
;;bnr;bn;Butmas-Tur
;;sru;sr;Suruí
;;mgb;mg;Mararit
;;ttc;tt;Tektiteko
;;sde;sd;Surubu
;;sck;sc;Sadri
;;gdq;gd;Mehri
;;woo;wo;Manombai
;;srm;sr;Saramaccan
;;glc;gl;Bon Gula
;;ari;ar;Arikara
;;brr;br;Birao
;;azz;az;Highland Puebla Nahuatl
;;tys;ty;Tày Sa Pa
;;igg;ig;Igana
;;ndk;nd;Ndaka
;;xht;xh;Hattic
;;bev;be;Daloa Bété
;;cug;cu;Cung
;;swj;sw;Sira
;;laa;la;Southern Subanen
;;brx;br;Bodo (India)
;;ugn;ug;Ugandan Sign Language
;;bgn;bg;Western Balochi
;;rme;rm;Angloromani
;;nyi;ny;Ama (Sudan)
;;ame;am;Yanesha'
;;yom;yo;Yombe
;;mni;mn;Manipuri
;;kjt;kj;Phrae Pwo Karen
;;gle;gl;Irish
;;tly;tl;Talysh
;;zae;za;Yareni Zapotec
;;nei;ne;Neo-Hittite
;;ukq;uk;Ukwa
;;vid;vi;Vidunda
;;rmg;rm;Traveller Norwegian
;;coq;co;Coquille
;;kmt;km;Kemtuik
;;tkf;tk;Tukumanféd
;;new;ne;Newari
;;srd;sr;Sardinian
;;osa;os;Osage
;;bnk;bn;Bierebo
;;nll;nl;Nihali
;;bst;bs;Basketo
;;org;or;Oring
;;orz;or;Ormu
;;lov;lo;Lopi
;;sei;se;Seri
;;kkt;kk;Koi
;;nop;no;Numanggang
;;kov;ko;Kudu-Camo
;;ign;ig;Ignaciano
;;swc;sw;Congo Swahili
;;wod;wo;Wolani
;;pal;pa;Pahlavi
;;che;ch;Chechen
;;min;mi;Minangkabau
;;ban;ba;Balinese
;;kri;kr;Krio
;;tnp;tn;Whitesands
;;cac;ca;Chuj
;;ssv;ss;Shark Bay
;;myx;my;Masaaba
;;mie;mi;Ocotepec Mixtec
;;koe;ko;Kacipo-Balesi
;;klm;kl;Migum
;;ner;ne;Yahadian
;;nrl;nr;Ngarluma
;;kuq;ku;Karipuna
;;stp;st;Southeastern Tepehuan
;;klt;kl;Nukna
;;guw;gu;Gun
;;yix;yi;Axi Yi
;;dau;da;Dar Sila Daju
;;liq;li;Libido
;;crw;cr;Chrau
;;myv;my;Erzya
;;kvg;kv;Kuni-Boazi
;;tkd;tk;Tukudede
;;bry;br;Burui
;;ocu;oc;Atzingo Matlatzinca
;;idt;id;Idaté
;;sma;sm;Southern Sami
;;kub;ku;Kutep
;;aki;ak;Aiome
;;msj;ms;Ma (Democratic Republic of Congo)
;;lok;lo;Loko
;;toh;to;Gitonga
;;zaz;za;Zari
;;swq;sw;Sharwa
;;tny;tn;Tongwe
;;thh;th;Northern Tarahumara
;;anj;an;Anor
;;gdf;gd;Guduf-Gava
;;nod;no;Northern Thai
;;haq;ha;Ha
;;zhn;zh;Nong Zhuang
;;kvb;kv;Kubu
;;yii;yi;Yidiny
;;crs;cr;Seselwa Creole French
;;bgr;bg;Bawm Chin
;;nnd;nn;West Ambae
;;nob;no;Norwegian Bokmål
;;lub;lu;Luba-Katanga
;;frs;fr;Eastern Frisian
;;arp;ar;Arapaho
;;tom;to;Tombulu
;;nac;na;Narak
;;ssp;ss;Spanish Sign Language
;;lbj;lb;Ladakhi
;;mru;mr;Mono (Cameroon)
;;teu;te;Soo
;;pls;pl;San Marcos Tlalcoyalco Popoloca
;;miw;mi;Akoye
;;ttk;tt;Totoro
;;xhe;xh;Khetrani
;;abf;ab;Abai Sungai
;;lba;lb;Lui
;;gua;gu;Shiki
;;nbh;nb;Ngamo
;;asf;as;Australian Sign Language
;;kvv;kv;Kola
;;zap;za;Zapotec
;;guj;gu;Gujarati
;;dza;dz;Tunzu
;;nyw;ny;Nyaw
;;bmk;bm;Ghayavi
;;tkr;tk;Tsakhur
;;amw;am;Western Neo-Aramaic
;;knk;kn;Kuranko
;;cap;ca;Chipaya
