#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
;;lbn;lb;Lamet
;;tac;ta;Lowland Tarahumara
;;kyx;ky;Rapoisi
;;noy;no;Noy
;;sol;so;Solos
;;mso;ms;Mombum
;;ten;te;Tama (Colombia)
;;mnv;mn;Rennell-Bellona
;;isr;is;Israeli Sign Language
;;lij;li;Ligurian
;;her;he;Herero
;;mhs;mh;Buru (Indonesia)
;;any;an;Anyin
;;aez;ae;Aeka
;;gah;ga;Alekano
;;hos;ho;Ho Chi Minh City Sign Language
;;ted;te;Tepo Krumen
;;tee;te;Huehuetla Tepehua
;;bau;ba;Bada (Nigeria)
;;swy;sw;Sarua
;;ndd;nd;Nde-Nsele-Nta
;;boo;bo;Tiemacèwè Bozo
;;kst;ks;Winyé
;;kmx;km;Waboda
;;rna;rn;Runa
;;mtl;mt;Montol
;;kmb;km;Kimbundu
;;bab;ba;Bainouk-Gunyuño
;;trx;tr;Tringgus-Sembaan Bidayuh
;;lbx;lb;Lawangan
;;cst;cs;Northern Ohlone
;;mnj;mn;Munji
;;kmc;km;Southern Dong
;;fir;fi;Firan
;;kad;ka;Kadara
;;nde;nd;North Ndebele
;;jaz;ja;Jawe
;;ksq;ks;Kwaami
;;col;co;Columbia-Wenatchi
;;brd;br;Baraamu
;;had;ha;Hatam
;;nbq;nb;Nggem
;;avt;av;Au
;;zaw;za;Mitla Zapotec
;;bmw;bm;Bomwali
;;kgg;kg;Kusunda
;;lbw;lb;Tolaki
;;abp;ab;Abellen Ayta
;;stj;st;Matya Samo
;;hod;ho;Holma
;;tld;tl;Talaud
;;ome;om;Omejes
;;koz;ko;Korak
;;hrk;hr;Haruku
;;hat;ha;Haitian
;;abr;ab;Abron
;;asz;as;As
;;sca;sc;Sansu
;;cvn;cv;Valle Nacional Chinantec
;;kin;ki;Kinyarwanda
;;uri;ur;Urim
;;pth;pt;Pataxó Hã-Ha-Hãe
;;ium;iu;Iu Mien
;;gau;ga;Mudhili Gadaba
;;nad;na;Nijadali
;;oma;om;Omaha-Ponca
;;lim;li;Limburgan
;;avd;av;Alviri-Vidari
;;scg;sc;Sanggau
;;gal;ga;Galoli
;;iii;ii;Sichuan Yi
;;fah;fa;Baissa Fali
;;rnl;rn;Ranglong
;;kkc;kk;Odoodee
;;seg;se;Segeju
;;qus;qu;Santiago del Estero Quichua
;;stm;st;Setaman
;;etn;et;Eton (Vanuatu)
;;kjg;kj;Khmu
;;rwk;rw;Rwa
;;twa;tw;Twana
;;gac;ga;Mixed Great Andamanese
;;anf;an;Animere
;;nbu;nb;Rongmei Naga
;;tkb;tk;Buksa
;;myp;my;Pirahã
;;eso;es;Estonian Sign Language
;;omi;om;Omi
;;pij;pi;Pijao
;;mkc;mk;Siliput
;;kig;ki;Kimaama
;;hea;he;Northern Qiandong Miao
;;lax;la;Tiwa
;;slu;sl;Selaru
;;kal;ka;Kalaallisut
;;psr;ps;Portuguese Sign Language
;;rnp;rn;Rongpo
;;wab;wa;Wab
;;wao;wa;Wappo
;;mhf;mh;Mamaa
;;thm;th;Aheu
;;neq;ne;North Central Mixe
;;sgb;sg;Mag-antsi Ayta
;;fal;fa;South Fali
;;cob;co;Chicomuceltec
;;tnq;tn;Taino
;;haf;ha;Haiphong Sign Language
;;sqa;sq;Shama-Sambuga
;;bej;be;Beja
;;mlt;ml;Maltese
;;tnz;tn;Tonga (Thailand)
;;bmp;bm;Bulgebi
;;mrp;mr;Morouas
;;bht;bh;Bhattiyali
;;myy;my;Macuna
;;bgj;bg;Bangolan
;;luo;lu;Luo (Kenya and Tanzania)
;;srv;sr;Southern Sorsoganon
;;tal;ta;Tal
;;skq;sk;Sininkere
;;trl;tr;Traveller Scottish
;;trh;tr;Turaka
;;sif;si;Siamou
;;rub;ru;Gungu
;;vic;vi;Virgin Islands Creole English
;;oji;oj;Ojibwa
;;lif;li;Limbu
;;trs;tr;Chicahuaxtla Triqui
;;thw;th;Thudam
;;abh;ab;Tajiki Arabic
;;oru;or;Ormuri
;;aap;aa;Pará Arára
;;yij;yi;Yindjibarndi
;;ukw;uk;Ukwuani-Aboh-Ndoni
;;rmk;rm;Romkun
;;tsz;ts;Purepecha
;;kww;kw;Kwinti
;;nak;na;Nakanai
;;aag;aa;Ambrak
;;kua;ku;Kuanyama
;;psn;ps;Panasuan
;;jaa;ja;Jamamadí
;;kju;kj;Kashaya
;;nge;ng;Ngemba
;;skx;sk;Seko Padang
;;nrr;nr;Norra
;;mnl;mn;Tiale
;;gum;gu;Guambiano
;;abw;ab;Pal
;;ven;ve;Venda
;;sop;so;Songe
;;mse;ms;Musey
;;loj;lo;Lou
;;ids;id;Idesa
;;kmg;km;Kâte
;;fia;fi;Nobiin
;;xhu;xh;Hurrian
;;nly;nl;Nyamal
;;bog;bo;Bamako Sign Language
;;mis;mi;Uncoded languages
;;bgx;bg;Balkan Gagauz Turkish
;;bsm;bs;Busami
;;lnm;ln;Langam
;;glw;gl;Glavda
;;sgm;sg;Singa
;;hoo;ho;Holoholo
;;iti;it;Inlaod Itneg
;;lga;lg;Lungga
;;ndr;nd;Ndoola
;;aby;ab;Aneme Wake
;;ndp;nd;Ndo
;;smt;sm;Simte
;;mhx;mh;Maru
;;slm;sl;Pangutaran Sama
;;bid;bi;Bidiyo
;;psd;ps;Plains Indian Sign Language
;;nav;na;Navajo
;;tiw;ti;Tiwi
;;nlk;nl;Ninia Yali
;;kkk;kk;Kokota
;;bho;bh;Bhojpuri
;;mij;mi;Abar
;;kjn;kj;Kunjen
;;kat;ka;Georgian
;;lna;ln;Langbashe
;;lat;la;Latin
;;hit;hi;Hittite
;;mks;mk;Silacayoapan Mixtec
;;thp;th;Thompson
;;mss;ms;West Masela
;;saz;sa;Saurashtra
;;bhj;bh;Bahing
;;hrx;hr;Hunsrik
;;kmy;km;Koma
;;tne;tn;Tinoc Kallahan
;;coy;co;Coyaima
;;big;bi;Biangai
;;nnh;nn;Ngiemboon
;;tip;ti;Trimuris
;;crd;cr;Coeur d'Alene
;;kng;kn;Koongo
;;bhc;bh;Biga
;;lgm;lg;Lega-Mwenga
;;tow;to;Jemez
;;sne;sn;Bau Bidayuh
;;koq;ko;Kota (Gabon)
;;mgi;mg;Lijili
;;nrx;nr;Ngurmbur
;;ayr;ay;Central Aymara
;;wap;wa;Wapishana
;;sae;sa;Sabanê
;;cat;ca;Catalan
;;pli;pl;Pali
;;kvz;kv;Tsakwambo
;;waf;wa;Wakoná
;;kiu;ki;Kirmanjki (individual language)
;;hir;hi;Himarimã
;;asl;as;Asilulu
;;mnz;mn;Moni
;;non;no;Old Norse
;;slf;sl;Swiss-Italian Sign Language
;;ceb;ce;Cebuano
;;mrd;mr;Western Magar
;;ttt;tt;Muslim Tat
;;chz;ch;Ozumacín Chinantec
;;wax;wa;Watam
;;baf;ba;Nubaca
;;pae;pa;Pagibete
;;yiq;yi;Miqie
;;lgh;lg;Laghuu
;;sis;si;Siuslaw
;;sra;sr;Saruga
;;taw;ta;Tai
;;pia;pi;Pima Bajo
;;loq;lo;Lobala
;;ise;is;Italian Sign Language
;;thi;th;Tai Long
;;hud;hu;Huaulu
;;chg;ch;Chagatai
;;waw;wa;Waiwai
;;mla;ml;Malo
;;psy;ps;Piscataway
;;faz;fa;Northwestern Fars
;;nbn;nb;Kuri
;;kvm;kv;Kendem
;;daf;da;Dan
;;pav;pa;Pakaásnovos
;;swn;sw;Sawknah
;;hue;hu;San Francisco Del Mar Huave
;;kgu;kg;Kobol
;;pax;pa;Pankararé
;;scs;sc;North Slavey
;;mny;mn;Manyawa
;;elk;el;Elkei
;;mlg;ml;Malagasy
;;kyh;ky;Karok
;;ssb;ss;Southern Sama
;;ojb;oj;Northwestern Ojibwa
;;bmg;bm;Bamwe
;;tto;tt;Lower Ta'oih
;;luv;lu;Luwati
;;tim;ti;Timbe
;;elx;el;Elamite
;;crv;cr;Chaura
;;ukr;uk;Ukrainian
;;nbt;nb;Na
;;tgq;tg;Tring
;;brg;br;Baure
;;knn;kn;Konkani (individual language)
;;kvy;kv;Yintale Karen
;;str;st;Straits Salish
;;glo;gl;Galambu
;;aft;af;Afitti
;;amk;am;Ambai
;;zao;za;Ozolotepec Zapotec
;;msr;ms;Mongolian Sign Language
;;lud;lu;Ludian
;;snl;sn;Sangil
;;zar;za;Rincón Zapotec
;;nom;no;Nocamán
;;oml;om;Ombo
;;dzn;dz;Dzando
;;lig;li;Ligbi
;;urb;ur;Urubú-Kaapor
;;coz;co;Chochotec
;;kyw;ky;Kudmali
;;mtm;mt;Mator
;;bew;be;Betawi
;;ruq;ru;Megleno Romanian
;;zah;za;Zangwal
;;fap;fa;Palor
;;mty;mt;Nabi
;;hux;hu;Nüpode Huitoto
;;oro;or;Orokolo
;;com;co;Comanche
;;gab;ga;Gabri
;;teo;te;Teso
;;kmu;km;Kanite
;;htx;ht;Middle Hittite
;;akv;ak;Akhvakh
;;klr;kl;Khaling
;;kyg;ky;Keyagana
;;akl;ak;Aklanon
;;nlz;nl;Nalögo
;;des;de;Desano
;;sab;sa;Buglere
;;smz;sm;Simeku
;;bra;br;Braj
;;ant;an;Antakarinya
;;myw;my;Muyuw
;;lbm;lb;Lodhi
;;kmd;km;Majukayang Kalinga
;;ugy;ug;Uruguayan Sign Language
;;lag;la;Langi
;;quv;qu;Sacapulteco
;;lbv;lb;Lavatbura-Lamusong
;;kss;ks;Southern Kisi
;;tty;tt;Sikaritai
;;noh;no;Nomu
;;kvr;kv;Kerinci
;;yid;yi;Yiddish
;;kls;kl;Kalasha
;;ndc;nd;Ndau
;;mhy;mh;Ma'anyan
;;enu;en;Enu
;;bsn;bs;Barasana-Eduria
;;nna;nn;Nyangumarta
;;nym;ny;Nyamwezi
;;ayc;ay;Southern Aymara
;;ang;an;Old English (ca. 450-1100)
;;nbg;nb;Nagarchal
;;sve;sv;Serili
;;rmz;rm;Marma
;;kll;kl;Kagan Kalagan
;;cov;co;Cao Miao
;;msi;ms;Sabah Malay
;;lit;li;Lithuanian
;;ter;te;Tereno
;;nlv;nl;Orizaba Nahuatl
;;ser;se;Serrano
;;skw;sk;Skepi Creole Dutch
;;tso;ts;Tsonga
;;tgh;tg;Tobagonian Creole English
;;asa;as;Asu (Tanzania)
;;srn;sr;Sranan Tongo
;;soo;so;Songo
;;akm;ak;Aka-Bo
;;sml;sm;Central Sama
;;aam;aa;Aramanik
;;ssk;ss;Sunam
;;cvg;cv;Chug
;;mib;mi;Atatláhuca Mixtec
;;enh;en;Tundra Enets
;;gdd;gd;Gedaged
;;lbi;lb;La'bi
;;snu;sn;Senggi
;;kwr;kw;Kwer
;;gun;gu;Mbyá Guaraní
;;tka;tk;Truká
;;gvf;gv;Golin
;;ugb;ug;Kuku-Ugbanh
;;kun;ku;Kunama
;;afk;af;Nanubae
;;ash;as;Abishira
;;nnm;nn;Namia
;;gdg;gd;Ga'dang
;;hoe;ho;Horom
;;kas;ka;Kashmiri
;;sef;se;Cebaara Senoufo
;;nyx;ny;Nganyaywana
;;nrc;nr;Noric
;;bnc;bn;Bontok
;;neh;ne;Nyenkha
;;tey;te;Tulishi
;;jas;ja;New Caledonian Javanese
;;sdo;sd;Bukar-Sadung Bidayuh
;;sdf;sd;Sarli
;;gvo;gv;Gavião Do Jiparaná
;;mtr;mt;Mewari
;;til;ti;Tillamook
;;luq;lu;Lucumi
;;amv;am;Ambelau
;;gnh;gn;Lere
;;skm;sk;Sakam
;;wok;wo;Longto
;;ayq;ay;Ayi (Papua New Guinea)
;;kky;kk;Guguyimidjir
;;mrc;mr;Maricopa
;;csr;cs;Costa Rican Sign Language
;;tre;tr;East Tarangan
;;yox;yo;Yoron
;;ssy;ss;Saho
;;hag;ha;Hanga
;;sms;sm;Skolt Sami
;;yon;yo;Yongkom
;;crz;cr;Cruzeño
;;swk;sw;Malawi Sena
;;sqn;sq;Susquehannock
;;ksw;ks;S'gaw Karen
;;ann;an;Obolo
;;arh;ar;Arhuaco
;;ara;ar;Arabic
;;iai;ia;Iaai
;;mlp;ml;Bargam
;;kgm;kg;Karipúna
;;biv;bi;Southern Birifor
;;htu;ht;Hitu
;;bgk;bg;Bit
;;kwm;kw;Kwambi
;;uzn;uz;Northern Uzbek
;;chh;ch;Chinook
;;cav;ca;Cavineña
;;kae;ka;Ketangalan
;;guv;gu;Gey
;;laj;la;Lango (Uganda)
;;ttf;tt;Tuotomb
;;msb;ms;Masbatenyo
;;bga;bg;Gwamhi-Wuri
;;las;la;Lama (Togo)
;;cot;co;Caquinte
;;chq;ch;Quiotepec Chinantec
;;nle;nl;East Nyala
;;kuk;ku;Kepo'
;;crh;cr;Crimean Tatar
;;gdn;gd;Umanakaina
;;rmb;rm;Rembarunga
;;bsu;bs;Bahonsuai
;;tsl;ts;Ts'ün-Lao
;;row;ro;Dela-Oenale
;;ksn;ks;Kasiguranin
;;ksb;ks;Shambala
;;soy;so;Miyobe
;;kus;ku;Kusaal
;;gdr;gd;Wipi
;;rmq;rm;Caló
;;bgo;bg;Baga Koga
;;kny;kn;Kanyok
;;baw;ba;Bambili-Bambui
;;cab;ca;Garifuna
;;pao;pa;Northern Paiute
;;cuu;cu;Tai Ya
;;nnq;nn;Ngindo
;;esu;es;Central Yupik
;;kkr;kk;Kir-Balar
;;aaz;aa;Amarasi
;;suz;su;Sunwar
;;std;st;Sentinel
;;bmq;bm;Bomu
;;stq;st;Saterfriesisch
;;bnl;bn;Boon
;;ton;to;Tonga (Tonga Islands)
;;kop;ko;Waube
;;zay;za;Zayse-Zergulla
;;xhc;xh;Hunnic
;;mtb;mt;Anyin Morofo
;;knr;kn;Kaningra
;;mii;mi;Chigmecatitlán Mixtec
;;bnj;bn;Eastern Tawbuid
;;gld;gl;Nanai
;;avi;av;Avikam
;;dzd;dz;Daza
;;bne;bn;Bintauna
;;nyb;ny;Nyangbo
;;mkl;mk;Mokole
;;sor;so;Somrai
;;gna;gn;Kaansa
;;zul;zu;Zulu
;;tww;tw;Tuwari
;;sgo;sg;Songa
;;dac;da;Dambi
;;aka;ak;Akan
;;sid;si;Sidamo
;;aax;aa;Mandobo Atas
;;tnr;tn;Bedik
;;pir;pi;Piratapuyo
;;cas;ca;Tsimané
;;lau;la;Laba
;;thn;th;Thachanadan
;;nal;na;Nalik
;;kja;kj;Mlap
;;kum;ku;Kumyk
;;mhg;mh;Margu
;;kux;ku;Kukatja
;;sgc;sg;Kipsigis
;;enb;en;Markweeta
;;tix;ti;Southern Tiwa
;;bei;be;Bekati'
;;vin;vi;Vinza
;;fak;fa;Fang (Cameroon)
;;tsy;ts;Tebul Sign Language
;;def;de;Dezfuli
;;lie;li;Likila
;;afz;af;Obokuitai
;;piy;pi;Piya-Kwonci
;;csk;cs;Jola-Kasa
;;fos;fo;Siraya
;;jac;ja;Popti'
;;amb;am;Ambo
;;itt;it;Maeng Itneg
;;cuc;cu;Usila Chinantec
;;jab;ja;Hyam
;;ayd;ay;Ayabadhu
;;trv;tr;Taroko
;;hid;hi;Hidatsa
;;thx;th;The
;;cod;co;Cocama-Cocamilla
;;gvm;gv;Gurmana
;;cub;cu;Cubeo
;;coa;co;Cocos Islands Malay
;;psm;ps;Pauserna
;;amg;am;Amarag
;;aao;aa;Algerian Saharan Arabic
;;koj;ko;Sara Dunjo
;;orv;or;Old Russian
;;skp;sk;Sekapan
;;mid;mi;Mandaic
;;trg;tr;Lishán Didán
;;ruz;ru;Ruma
;;zum;zu;Kumzari
;;osc;os;Oscan
;;thu;th;Thuri
;;tgt;tg;Central Tagbanwa
;;kwx;kw;Khirwar
;;abo;ab;Abon
;;ary;ar;Moroccan Arabic
;;gak;ga;Gamkonora
;;mlq;ml;Western Maninkakan
;;boa;bo;Bora
;;nbm;nb;Ngbaka Ma'bo
;;kam;ka;Kamba (Kenya)
;;stk;st;Arammba
;;bnw;bn;Bisis
;;pih;pi;Pitcairn-Norfolk
;;psq;ps;Pasi
;;chf;ch;Tabasco Chontal
;;typ;ty;Thaypan
;;akg;ak;Anakalangu
;;twd;tw;Twents
;;now;no;Nyambo
;;yir;yi;North Awyu
;;knx;kn;Kendayan
;;mhj;mh;Mogholi
;;tsa;ts;Tsaangi
;;fag;fa;Finongan
;;ism;is;Masimasi
;;scf;sc;San Miguel Creole French
;;cuj;cu;Mashco Piro
;;tlp;tl;Filomena Mata-Coahuitlán Totonac
;;ksd;ks;Kuanua
;;how;ho;Honi
;;myh;my;Makah
;;beb;be;Bebele
;;kjh;kj;Khakas
;;wag;wa;Wa'ema
;;sut;su;Subtiaba
;;hut;hu;Humla
;;amm;am;Ama (Papua New Guinea)
;;ngt;ng;Ngeq
;;abj;ab;Aka-Bea
;;twi;tw;Twi
;;kmh;km;Kalam
;;fry;fr;Western Frisian
;;tlb;tl;Tobelo
;;cym;cy;Welsh
;;sse;ss;Balangingi
;;pii;pi;Pini
;;msm;ms;Agusan Manobo
;;kif;ki;Eastern Parbate Kham
;;enr;en;Emumu
;;ura;ur;Urarina
;;twq;tw;Tasawaq
;;waq;wa;Wageman
;;wac;wa;Wasco-Wishram
;;lbu;lb;Labu
;;aab;aa;Alumu-Tesu
;;far;fa;Fataleka
;;mgj;mg;Abureni
;;omt;om;Omotik
;;ksv;ks;Kusu
;;ndb;nd;Kenswei Nsei
;;daq;da;Dandami Maria
;;eto;et;Eton (Cameroon)
;;too;to;Xicotepec De Juárez Totonac
;;idd;id;Ede Idaca
;;tox;to;Tobian
;;jvd;jv;Javindo
;;eot;eo;Beti (Côte d'Ivoire)
;;mlh;ml;Mape
;;frk;fr;Frankish
;;mnd;mn;Mondé
;;pay;pa;Pech
;;bnb;bn;Bookan
;;kgv;kg;Karas
;;pad;pa;Paumarí
;;paw;pa;Pawnee
;;elo;el;El Molo
;;bmh;bm;Kein
;;wav;wa;Waka
;;igw;ig;Igwe
;;tts;tt;Northeastern Thai
;;ave;av;Avestan
;;sle;sl;Sholaga
;;jam;ja;Jamaican Creole English
;;fay;fa;Southwestern Fars
;;snf;sn;Noon
;;luw;lu;Luo (Cameroon)
;;bhd;bh;Bhadrawahi
;;ndi;nd;Samba Leko
;;cut;cu;Teutila Cuicatec
;;ttp;tt;Tombelala
;;cho;ch;Choctaw
;;quh;qu;South Bolivian Quechua
;;urh;ur;Urhobo
;;kmo;km;Kwoma
;;swo;sw;Shanenawa
;;tyu;ty;Kua
;;srf;sr;Nafi
;;kks;kk;Giiwo
;;loi;lo;Loma (Côte d'Ivoire)
;;sir;si;Siri
;;ffm;ff;Maasina Fulfulde
;;bof;bo;Bolon
;;ojw;oj;Western Ojibwa
;;nlg;nl;Gela
;;rue;ru;Rusyn
;;lnb;ln;Mbalanhu
;;lgb;lg;Laghu
;;lal;la;Lalia
;;krj;kr;Kinaray-A
;;tge;tg;Eastern Gorkha Tamang
;;uka;uk;Kaburi
;;snm;sn;Southern Ma'di
;;ltc;lt;Late Middle Chinese
;;psc;ps;Persian Sign Language
;;sap;sa;Sanapaná
;;esn;es;Salvadoran Sign Language
;;mnm;mn;Mapena
;;ars;ar;Najdi Arabic
;;kuv;ku;Kur
;;osx;os;Old Saxon
;;mgq;mg;Malila
;;etb;et;Etebi
;;ndq;nd;Ndombe
;;lbg;lb;Laopang
;;glg;gl;Galician
;;zha;zh;Zhuang
;;etx;et;Eten
;;beq;be;Beembe
;;sam;sa;Samaritan Aramaic
;;omw;om;South Tairora
;;mlu;ml;To'abaita
;;klq;kl;Rumu
;;scx;sc;Sicel
;;mir;mi;Isthmus Mixe
;;tam;ta;Tamil
;;fab;fa;Fa D'ambu
;;lgn;lg;Opuuo
;;mkr;mk;Malas
;;yig;yi;Wusa Nasu
;;kre;kr;Panará
;;bop;bo;Bonkiman
;;slt;sl;Sila
;;sdm;sd;Semandang
;;koy;ko;Koyukon
;;kau;ka;Kanuri
;;aea;ae;Areba
;;uzb;uz;Uzbek
;;mrs;mr;Maragus
;;wah;wa;Watubela
;;tif;ti;Tifal
;;kyf;ky;Kouya
;;klj;kl;Turkic Khalaj
;;bas;ba;Basa (Cameroon)
;;itr;it;Iteri
;;kvo;kv;Dobel
;;noi;no;Noiri
;;boq;bo;Bogaya
;;nlu;nl;Nchumbulu
;;aau;aa;Abau
;;kwe;kw;Kwerba
;;bgp;bg;Eastern Balochi
;;toi;to;Tonga (Zambia)
;;daw;da;Davawenyo
;;ior;io;Inor
;;sss;ss;Sô
;;ske;sk;Seke (Vanuatu)
;;rof;ro;Rombo
;;gdl;gd;Dirasha
;;klk;kl;Kono (Nigeria)
;;guu;gu;Yanomamö
;;plr;pl;Palaka Senoufo
;;mic;mi;Mi'kmaq
;;skv;sk;Skou
;;teg;te;Teke-Tege
;;bin;bi;Bini
;;jvn;jv;Caribbean Javanese
;;isd;is;Isnag
;;sgk;sg;Sangkong
;;myz;my;Classical Mandaic
;;mkk;mk;Byep
;;bhn;bh;Bohtan Neo-Aramaic
;;gve;gv;Duwet
;;cal;ca;Carolinian
;;guh;gu;Guahibo
;;bro;br;Brokkat
;;lis;li;Lisu
;;tan;ta;Tangale
;;sdl;sd;Saudi Arabian Sign Language
;;asi;as;Buruwai
;;soq;so;Kanasi
;;mnx;mn;Manikion
;;aze;az;Azerbaijani
;;nab;na;Southern Nambikuára
;;kwo;kw;Kwomtari
;;tew;te;Tewa (USA)
;;amu;am;Guerrero Amuzgo
;;nyc;ny;Nyanga-li
;;cry;cr;Cori
;;smm;sm;Musasa
;;nnb;nn;Nande
;;nyy;ny;Nyakyusa-Ngonde
;;gde;gd;Gude
;;ssj;ss;Sausi
;;arr;ar;Karo (Brazil)
;;lil;li;Lillooet
;;esk;es;Northwest Alaska Inupiatun
;;has;ha;Haisla
;;knm;kn;Kanamarí
;;hei;he;Heiltsuk
;;luy;lu;Luyia
;;ist;is;Istriot
;;mtx;mt;Tidaá Mixtec
;;pag;pa;Pangasinan
;;mya;my;Burmese
;;lue;lu;Luvale
;;rml;rm;Baltic Romani
;;mhh;mh;Maskoy Pidgin
;;avv;av;Avá-Canoeiro
;;ngq;ng;Ngurimi
;;tin;ti;Tindi
;;tns;tn;Tenis
;;lbl;lb;Libon Bikol
;;zaq;za;Aloápam Zapotec
;;nbs;nb;Namibian Sign Language
;;koc;ko;Kpati
;;brb;br;Lave
;;laf;la;Lafofa
;;gaa;ga;Ga
;;gat;ga;Kenati
;;lul;lu;Olu'bo
;;msh;ms;Masikoro Malagasy
;;jax;ja;Jambi Malay
;;akk;ak;Akkadian
;;crn;cr;El Nayar Cora
;;huz;hu;Hunzib
;;itk;it;Judeo-Italian
;;tep;te;Tepecano
;;hom;ho;Homa
;;anl;an;Anu
;;sll;sl;Salt-Yui
;;brh;br;Brahui
;;kmz;km;Khorasani Turkish
;;aku;ak;Akum
;;urz;ur;Uru-Eu-Wau-Wau
;;kme;km;Bakole
;;dep;de;Pidgin Delaware
;;bgc;bg;Haryanvi
;;kmv;km;Karipúna Creole French
;;neb;ne;Toura (Côte d'Ivoire)
;;ste;st;Liana-Seti
;;ttz;tt;Tsum
;;ans;an;Anserma
;;caa;ca;Chortí
;;tkp;tk;Tikopia
;;lns;ln;Lamnso'
;;bnv;bn;Bonerif
;;est;es;Estonian
;;akt;ak;Akolet
;;chp;ch;Chipewyan
;;rwo;rw;Rawa
;;myq;my;Forest Maninka
;;bno;bn;Bantoanon
;;box;bo;Buamu
;;bmr;bm;Muinane
;;sro;sr;Campidanese Sardinian
;;pan;pa;Panjabi
;;con;co;Cofán
;;nyj;ny;Nyanga
;;mlv;ml;Motlav
;;kox;ko;Coxima
;;qur;qu;Yanahuanca Pasco Quechua
;;sdp;sd;Sherdukpen
;;sez;se;Senthang Chin
;;nev;ne;Nyaheun
;;knq;kn;Kintaq
;;mgg;mg;Mpongmpong
;;bgy;bg;Benggoi
;;nrb;nr;Nara
;;ksm;ks;Kumba
;;cui;cu;Cuiba
;;omb;om;East Ambae
;;krp;kr;Korop
;;nae;na;Naka'ela
;;tlw;tl;South Wemale
;;lot;lo;Otuho
;;iow;io;Iowa-Oto
;;ksa;ks;Shuwa-Zamani
;;twr;tw;Southwestern Tarahumara
;;quk;qu;Chachapoyas Quechua
